line	url	code_HTTP	encodage	nombre_mots
1	https://fr.wikipedia.org/wiki/Robot	200	UTF-8	5681
2	https://fr.wikipedia.org/wiki/Robot_de_cuisine	200	UTF-8	1161
3	https://fr.wikipedia.org/wiki/Robot_d%27indexation	200	UTF-8	1765
4	https://fr.wikipedia.org/wiki/Bot_informatique	200	UTF-8	2583
5	https://fr.wikipedia.org/wiki/Atlas_(robot)	200	UTF-8	1167
6	https://roboty.magistry.fr	0	-	0
7	https://fr.wikipedia.org/wiki/Robot_(Leonard_de_Vinci)	429	utf-8	440
8	https://fr.wiktionary.org/wiki/robot	429	utf-8	4807
9	https://fr.wikipedia.org/wiki/Protocole_d%27exclusion_des_robots	429	utf-8	1058
10	https://fr.wikipedia.org/wiki/Robotique	200	utf-8	13023
